Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,BL,BL,S,CBOE,24
2021/12/01,BLBD,BLBD,S,CBOE,21
2021/12/01,BLD,BLD,S,CBOE,6
2021/12/01,BLDE,BLDE,S,CBOE,24
2021/12/01,BLDP,BLDP,S,CBOE,191
2021/12/01,BLDR,BLDR,S,CBOE,125
2021/12/01,BLFS,BLFS,S,CBOE,4
2021/12/01,BLI,BLI,S,CBOE,12
2021/12/01,BLK,BLK,S,CBOE,203
2021/12/01,BLL,BLL,S,CBOE,3358
2021/12/01,BLMN,BLMN,S,CBOE,312
2021/12/01,BLND,BLND,S,CBOE,21
2021/12/01,BLNK,BLNK,S,CBOE,1468
2021/12/01,BLOK,BLOK,S,CBOE,111
2021/12/01,BLU,BLU,S,CBOE,118
2021/12/01,BLUE,BLUE,S,CBOE,12
2021/12/01,BLUE1,BLUE,S,CBOE,1
2021/12/01,BLV,BLV,S,CBOE,35
2021/12/01,BMA,BMA,S,CBOE,11
2021/12/01,BMBL,BMBL,S,CBOE,153
2021/12/01,BMO,BMO,S,CBOE,68
2021/12/01,BMRN,BMRN,S,CBOE,62
2021/12/01,BMTX,BMTX,S,CBOE,296
2021/12/01,BMY,BMY,S,CBOE,3091
2021/12/01,BND,BND,S,CBOE,5
2021/12/01,BNDX,BNDX,S,CBOE,1
2021/12/01,BNED,BNED,S,CBOE,19
2021/12/01,BNFT,BNFT,S,CBOE,10
2021/12/01,BNGO,BNGO,S,CBOE,921
2021/12/01,BNO,BNO,S,CBOE,29
2021/12/01,BNS,BNS,S,CBOE,54
2021/12/01,BNTX,BNTX,S,CBOE,1593
2021/12/01,BODY,BODY,S,CBOE,147
2021/12/01,BOIL,BOIL,S,CBOE,549
2021/12/01,BOND,BOND,S,CBOE,4
2021/12/01,BOOT,BOOT,S,CBOE,7
2021/12/01,BOTZ,BOTZ,S,CBOE,13
2021/12/01,BOX,BOX,S,CBOE,2070
2021/12/01,BP,BP,S,CBOE,3311
2021/12/01,BPT,BPT,S,CBOE,4
2021/12/01,BQ,BQ,S,CBOE,54
2021/12/01,BRAG,BRAG,S,CBOE,122
2021/12/01,BRBR,BRBR,S,CBOE,21
2021/12/01,BRC,BRC,S,CBOE,2
2021/12/01,BREZ,BREZ,S,CBOE,4
2021/12/01,BRG,BRG,S,CBOE,36
2021/12/01,BRKB,BRK.B,S,CBOE,1728
2021/12/01,BRKL,BRKL,S,CBOE,2
2021/12/01,BRMK,BRMK,S,CBOE,15
2021/12/01,BROS,BROS,S,CBOE,430
2021/12/01,BRPM,BRPM,S,CBOE,83
2021/12/01,BRSP,BRSP,S,CBOE,10
2021/12/01,BRX,BRX,S,CBOE,42
2021/12/01,BRZU,BRZU,S,CBOE,149
2021/12/01,BSET,BSET,S,CBOE,7
2021/12/01,BSGM,BSGM,S,CBOE,9
